id,value
rpttc.flas.kps.ku.ac.th,2
www.ku.ac.th,1009
kps.ku.ac.th,92
pirun.ku.ac.th,377
www.kuer.edu.ku.ac.th,76
fishbio.fish.ku.ac.th,13
mirror1.ku.ac.th,3670
158.108.110.29,2716
agkb.lib.ku.ac.th,461
ag-ebook.lib.ku.ac.th,126
www.gerd.eng.ku.ac.th,87
ppath.agr.ku.ac.th,20
apcess2017.kasetsart.org,2
doras.psd.ku.ac.th,764
csrs.ku.ac.th,163
vet.ku.ac.th,946
e-learning.csc.ku.ac.th,96
www3.rdi.ku.ac.th,138
www.anchan.lib.ku.ac.th,19
www.becon.eco.ku.ac.th,76
www.vit.src.ku.ac.th,94
dorm.admin.src.ku.ac.th,91
www.mp.kus.ku.ac.th,11
www.cab.kps.ku.ac.th,406
dna.kps.ku.ac.th,479
research.rdi.ku.ac.th,166
www.agron.agr.ku.ac.th,1
www.lib.ku.ac.th,77
www.grad.ku.ac.th,100
www.mic.eng.ku.ac.th,4
kuhistory.ku.ac.th,8
www.eng.ku.ac.th,77
www.person.ku.ac.th,19
zmirror.ipinw.biz,194
pikul.lib.ku.ac.th,18
anchan.lib.ku.ac.th,50
kukr.lib.ku.ac.th,152
ninekaset.kustaff.ku.ac.th,69
www.homec.agr.ku.ac.th,5
lib.ku.ac.th,37
www.rdi.ku.ac.th,34
pirun.kps.ku.ac.th,64
server.cpc.ku.ac.th,13
www.academicservice.human.ku.ac.th,27
agron.agr.ku.ac.th,21
www.irre.ku.ac.th,5
www.stat.sci.ku.ac.th,2
www.sp.ku.ac.th,6
www.coop.ku.ac.th,26
158.108.80.190,1
cab.ku.ac.th,1
archives.lib.ku.ac.th,14
158.108.94.54,10
www.agr.ku.ac.th,15
pi.eng.src.ku.ac.th,23
ess.eco.ku.ac.th,6
www.kimba.ku.ac.th,11
biochem.flas.kps.ku.ac.th,27
iml.cpe.ku.ac.th,36
www2.rdi.ku.ac.th,27
www.pirun.ku.ac.th,4
www.osc.src.ku.ac.th,2
optd.project.ku.ac.th,9
human.ku.ac.th,2
www.cbit.arch.ku.ac.th,2
158.108.110.14,14
seas.soc.ku.ac.th,3
cpe.eng.kps.ku.ac.th,12
158.108.196.58,6
ms.src.ku.ac.th,30
council.ku.ac.th,6
calendar.ku.ac.th,30
epidem.vet.kps.ku.ac.th,1
cyberlab.lh1.ku.ac.th,191
kasetsartjournal.ku.ac.th,14
158.108.199.2,2
eoffice.ku.ac.th,1
sat.ocs.ku.ac.th,1
std.eng.src.ku.ac.th,116
ss.sa.ku.ac.th,2
trop.agr.ku.ac.th,1
theory.cpe.ku.ac.th,141
eto.ku.ac.th,104
bus.ku.ac.th,53
music.human.ku.ac.th,46
158.108.104.25,28
eng.kps.ku.ac.th,10
158.108.83.3,9
158.108.180.3,8
www.sa.ku.ac.th,5
kufirst.center.ku.ac.th,1
re.kps.ku.ac.th,1
dsil.flas.kps.ku.ac.th,14
www.src.ku.ac.th,74
www.regweb.registrar.ku.ac.th,48
eeba.eco.ku.ac.th,7
www.research.ifrpd.ku.ac.th,1
www.csc.ku.ac.th,26
person.psd.kps.ku.ac.th,12
service.ifrpd.ku.ac.th,8
www.spsgames.kps.ku.ac.th,16
158.108.52.245,1
sega05.arch.ku.ac.th,72
fpei.ku.ac.th,96
east.human.ku.ac.th,7
flas.kps.ku.ac.th,27
interprogram.ku.ac.th,4
alldb.kps.ku.ac.th,18
www.kus.ku.ac.th,6
agr.ku.ac.th,2
www.cyberlab.lh1.ku.ac.th,3
eoffice.rdi.ku.ac.th,5
www.ase.eng.ku.ac.th,6
www.edu.kps.ku.ac.th,6
www.cs.sci.ku.ac.th,9
ku.ac.th,9
www.vet.kps.ku.ac.th,4
www.kitman.human.ku.ac.th,2
www.vettech.ku.ac.th,18
ku-press.ku.ac.th,94
iad.intaff.ku.ac.th,12
www.journal.eco.ku.ac.th,16
www.chem.flas.kps.ku.ac.th,1
fse.csc.ku.ac.th,24
www.go.sa.ku.ac.th,1
admission.ku.ac.th,13
train.eto.ku.ac.th,13
www.eto.ku.ac.th,19
office.csc.ku.ac.th,18
psreview.soc.ku.ac.th,3
research.ifrpd.ku.ac.th,9
158.108.219.172,1
158.108.21.9,16
bioff.forest.ku.ac.th,8
www.sps.kps.ku.ac.th,6
finance.ku.ac.th,40
www.safetybio.agri.kps.ku.ac.th,16
www.ku-ept.human.ku.ac.th,23
www.re.kps.ku.ac.th,100
www.msp.agro.ku.ac.th,2
158.108.203.13,18
e-photopics.eng.ku.ac.th,43
158.108.70.5,2
www.icgsi2015.eng.ku.ac.th,2
sp.ku.ac.th,6
fin.bus.ku.ac.th,70
cab.kps.ku.ac.th,22
eduserv.ku.ac.th,30
www.tjf.forest.ku.ac.th,2
158.108.32.49,18
www.bus.ku.ac.th,11
forensicscience.flas.kps.ku.ac.th,5
rdi.ku.ac.th,7
www.eve.eng.ku.ac.th,5
pr.ku.ac.th,12
www.researchconference.kps.ku.ac.th,2
eco.ku.ac.th,5
jindamanee.lib.ku.ac.th,15
158.108.80.13,5
158.108.8.148,7
halaldb.ifrpd.ku.ac.th,5
spsgames.kps.ku.ac.th,18
econ.eco.ku.ac.th,64
kucon.lib.ku.ac.th,7
ibic.lib.ku.ac.th,20
www.cacs.vet.ku.ac.th,3
greencampus.ku.ac.th,6
www.fish.ku.ac.th,11
arts.flas.kps.ku.ac.th,1
cs.sci.ku.ac.th,4
www.lang.human.ku.ac.th,16
158.108.102.16,3
test.sp.ku.ac.th,1
158.108.219.32,1
information.soc.ku.ac.th,5
edu.kps.ku.ac.th,29
agkc.lib.ku.ac.th,16
www.gad.ku.ac.th,3
e-working.ocs.ku.ac.th,23
safetybio.agri.kps.ku.ac.th,3
www.ms.src.ku.ac.th,10
edtechelearning.edu.ku.ac.th,4
history.soc.ku.ac.th,3
www.kucon.lib.ku.ac.th,3
www.google.pl,1
conference.forest.ku.ac.th,1
158.108.196.34,6
www.kps.ku.ac.th,7
158.108.54.2,2
phd.bus.ku.ac.th,1
info.ms.src.ku.ac.th,7
